dbCAN subfam	Subfam Composition	Subfam EC	Substrate	Profile Length	Gene ID	Gene Length	E Value	Profile Start	Profile End	Gene Start	Gene End	Coverage
GT4_e689	GT4:71	-	-	140	L0P38_RS22360	366	4.2e-29	2	137	192	324	0.9642857142857143	0.9642857142857143
GT4_e1477	GT4:11	-	-	159	L0P38_RS22380	376	1.1e-47	3	158	189	346	0.9748427672955975	0.9748427672955975
GT4_e1477	GT4:11	-	-	159	L0P38_RS22385	394	2.5e-56	4	158	210	364	0.9685534591194969	0.9685534591194969
GT2	GT2:47|GT4:1	-	-	164	L0P38_RS22410	305	1.4e-50	1	163	6	168	0.9878048780487805	0.9878048780487805
GT4_e881	GT4:46	-	-	143	L0P38_RS22420	363	1.4e-41	4	139	195	332	0.9440559440559441	0.9440559440559441
GT11_e39	GT11:63	2.4.1.69:2	-	296	L0P38_RS22435	299	3.5e-74	1	296	2	298	0.9966216216216216	0.9966216216216216
GT2	GT2:7	-	-	141	L0P38_RS22440	274	9e-49	1	141	7	151	0.9929078014184397	0.9929078014184397
GT2	GT2:32	-	-	160	L0P38_RS22480	270	5.1e-74	1	160	4	163	0.99375	0.99375
GT4_e2413	GT4:14	-	-	141	L0P38_RS22485	366	1.1e-45	4	137	195	328	0.9432624113475178	0.9432624113475178
GT4_e3187	GT4:10	-	-	143	L0P38_RS22490	329	6.7e-55	1	142	157	299	0.986013986013986	0.986013986013986
GH73_e10	GH73:59|CBM50:1	-	-	126	L0P67_RS11620	207	5.2e-26	2	125	107	205	0.9761904761904762	0.9761904761904762
GT4_e4001	GT4:11	-	-	139	L0P67_RS25335	364	3.2e-30	1	137	181	324	0.9784172661870504	0.9784172661870504
CBM62_e11	CBM62:8	-	xyloglucan, arabinogalactan and galactomannan	75	L5B68_RS17670	600	5.7e-25	5	74	399	468	0.92	0.92
GT2	GT2:13	-	-	141	LI013_RS22540	74	1.3e-34	45	117	2	74	0.5106382978723404	0.5106382978723404
GH2_e80	GH2:380	3.2.1.25:4	beta-mannan	707	LI035_RS22855	867	0	3	705	34	740	0.9929278642149929	0.9929278642149929
GH108_e40	GH108:71	-	-	87	LI279_RS06835	192	3.2e-40	1	87	10	100	0.9885057471264368	0.9885057471264368
GH97_e22	GH97:651	3.2.1.3:2|3.2.1.20:2	alpha-glucan, alpha-glucan	689	LI279_RS07290	714	0	4	688	13	697	0.9927431059506531	0.9927431059506531
GH31_e65	GH31:78	-	-	431	LI279_RS07295	780	6.9e-195	1	431	214	648	0.9976798143851509	0.9976798143851509
GH27_e22	GH27:26	-	-	257	LI279_RS07300	493	3.6e-137	1	257	207	471	0.9961089494163424	0.9961089494163424
GH73_e221	GH73:75	-	-	133	LI279_RS14875	527	3.9e-76	1	133	13	145	0.9924812030075187	0.9924812030075187
GH24_e203	GH24:151	-	-	126	LI279_RS15055	177	8.5e-59	1	126	44	170	0.9920634920634921	0.9920634920634921
GT4_e1604	GT4:12	-	-	149	LI279_RS17945	377	8.9e-49	1	147	201	349	0.9798657718120806	0.9798657718120806
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	LI279_RS17950	335	1e-32	1	119	12	130	0.7239263803680982	0.7239263803680982
GT8_e228	GT8:13	-	-	248	LI279_RS17960	315	2.2e-75	1	246	5	248	0.9879032258064516	0.9879032258064516
CE4_e247	CE4:16|GT4:1	-	-	145	LI279_RS17980	264	1.1e-20	7	141	50	208	0.9241379310344827	0.9241379310344827
GT4_e4050	GT4:9	-	-	147	LI279_RS18000	353	3.2e-49	3	146	175	318	0.9727891156462585	0.9727891156462585
GT26_e4	GT26:57	-	-	165	LI279_RS18025	233	1.5e-90	1	165	54	218	0.9939393939393939	0.9939393939393939
GT4_e779	GT4:21	-	-	147	LI279_RS19735	342	2.8e-61	2	145	160	303	0.9727891156462585	0.9727891156462585
GT4_e2634	GT4:16	-	-	151	LI279_RS19845	424	1.5e-30	12	147	248	381	0.8940397350993378	0.8940397350993378
GT2	GT2:75	-	-	140	LI279_RS19855	262	3.5e-44	1	118	6	123	0.8357142857142857	0.8357142857142857
GT2	GT2:16	-	-	162	LI279_RS19860	322	1.7e-37	1	121	8	129	0.7407407407407407	0.7407407407407407
GT2	GT2:11	-	-	165	LI279_RS19870	276	9.4e-62	1	164	8	172	0.9878787878787879	0.9878787878787879
GH24_e69	GH24:62	-	-	124	LI279_RS21025	160	1.4e-66	1	124	30	153	0.9919354838709677	0.9919354838709677
GT4_e2365	GT4:29	-	-	148	LI279_RS22585	378	1.7e-47	2	147	206	352	0.9797297297297297	0.9797297297297297
GT2	GT2:12	-	-	235	LI279_RS22595	297	2.4e-75	1	230	5	248	0.9744680851063829	0.9744680851063829
GH18_e35	GH18:23	-	-	214	LI279_RS25215	372	3.6e-130	1	214	90	303	0.9953271028037384	0.9953271028037384
GT2	GT2:32	-	-	160	LI279_RS27490	80	1.9e-29	1	77	4	80	0.475	0.475
GH23_e819	GH23:3899|CBM50:3878	-	-	143	LI298_RS28645	67	2.8e-32	13	79	1	67	0.46153846153846156	0.46153846153846156
GT2	GT2:13	-	-	155	LI308_RS28475	84	3.7e-30	36	114	1	79	0.5032258064516129	0.5032258064516129
GT4_e1477	GT4:11	-	-	159	NCZ39_RS08525	372	7.2e-59	3	157	187	342	0.9685534591194969	0.9685534591194969
GT4_e588	GT4:9	-	-	129	NCZ39_RS08550	370	5.6e-46	3	129	193	330	0.9767441860465116	0.9767441860465116
GH106_e35	GH106:15	-	-	688	NCZ39_RS25440	1034	6.3e-73	2	672	57	744	0.9738372093023255	0.9738372093023255
AA6_e2	AA6:22	-	-	195	NE467_RS24875	72	9.3e-31	68	140	1	72	0.36923076923076925	0.36923076923076925
GH24_e203	GH24:151	-	-	126	NXU83_RS13780	153	3.4e-51	1	126	25	144	0.9920634920634921	0.9920634920634921
GH24_e43	GH24:7	-	-	125	NXU83_RS23740	152	2.4e-75	1	125	21	145	0.992	0.992
GT4_e3606	GT4:10|GT2:1	-	-	154	NXU88_RS04450	413	4e-48	2	152	229	379	0.974025974025974	0.974025974025974
GH95_e0	GH95:552|CBM51:45|CBM32:26|CBM13:1|CBM47:1	3.2.1.63:5|3.2.1.51:1	xyloglucan, host glycan, host glycan	726	NXU88_RS05415	834	2.1e-265	9	723	72	809	0.9834710743801653	0.9834710743801653
CBM67_e26	CBM67:52|GH78:52|CBM32:8|CBM13:1	-	rhamnose	183	NXU88_RS08380	776	8.1e-79	1	183	29	212	0.994535519125683	0.994535519125683
GH78_e30	GH78:58|CBM67:48|CBM32:8|CE15:2	3.2.1.40:2	alpha-rhamnoside	460	NXU88_RS08380	776	6.9e-204	4	459	264	719	0.9891304347826086	0.9891304347826086
GH30_e11	GH30_2:24	-	-	435	NXU88_RS11850	496	9.5e-258	1	434	58	492	0.9954022988505747	0.9954022988505747
GH43_e43	GH43_10:34|CBM13:6	-	-	269	NXU88_RS11900	526	1.7e-130	1	269	41	309	0.9962825278810409	0.9962825278810409
CBM91_e38	CBM91:42|GH43_10:42|CBM13:6	-	xylan	187	NXU88_RS11900	526	9e-85	1	185	340	524	0.983957219251337	0.983957219251337
GH51_e47	GH51:642|GH43_34:9|CE6:3|GH43_18:3|GH43_22:3|GH43_4:3|GH43:2|GH43_29:2|CBM5:1|CBM66:1|GH0:1|CBM84:1|CBM0:1	3.2.1.55:5	arabinan	468	NXU88_RS11910	646	4.2e-195	3	467	179	644	0.9914529914529915	0.9914529914529915
CBM67_e28	CBM67:192|GH78:190|CBM0:1|CBM66:1	3.2.1.40:1	rhamnose	186	NXU88_RS11915	1166	1.6e-53	17	177	358	528	0.8602150537634409	0.8602150537634409
GH78_e85	GH78:65|CBM67:2	-	-	539	NXU88_RS11915	1166	5.4e-265	1	539	574	1120	0.9981447124304267	0.9981447124304267
GT1_e246	GT1:393	-	-	122	NXU88_RS17255	159	6e-23	1	116	3	118	0.9426229508196722	0.9426229508196722
GT4_e2936	GT4:14	-	-	148	NXU88_RS17280	349	2.3e-39	2	146	171	315	0.972972972972973	0.972972972972973
GT4_e2158	GT4:37	-	-	148	NXU88_RS17305	358	1.7e-27	2	141	186	321	0.9391891891891891	0.9391891891891891
GT4_e4053	GT4:9	-	-	147	NXU88_RS17310	387	1.7e-58	2	145	209	352	0.9727891156462585	0.9727891156462585
GH24_e69	GH24:62	-	-	124	NXV24_RS17695	173	2.1e-72	1	124	43	166	0.9919354838709677	0.9919354838709677
GT2	GT2:24	-	-	124	NXV24_RS19505	168	2.6e-42	1	111	6	116	0.8870967741935484	0.8870967741935484
GH16_e240	GH16_3:45|GH16:4|GH16_24:1|CBM88:1	3.2.1.39:1	beta-glucan	230	NXV50_RS07725	370	4.7e-108	1	230	137	365	0.9956521739130435	0.9956521739130435
GH26_e35	GH26:19|CE0:1	-	-	301	NXV61_RS10040	397	5.1e-156	1	300	45	347	0.9933554817275747	0.9933554817275747
CBM32_e168	CBM32:16|GH33:15|GH123:9	3.2.1.18:2	host glycan	126	NXV61_RS14225	477	5.5e-17	6	125	347	470	0.9444444444444444	0.9444444444444444
GH51_e27	GH51:26	-	-	612	NXV61_RS14310	846	3.2e-256	1	611	239	841	0.9967320261437909	0.9967320261437909
GH30_e66	GH30_2:16	-	-	421	NXV61_RS14315	476	3.2e-223	2	420	55	474	0.9928741092636579	0.9928741092636579
GT4_e3009	GT4:5	-	-	141	NXV61_RS24830	340	3e-43	4	140	172	306	0.9645390070921985	0.9645390070921985
GT2	GT2:6	-	-	130	NXV61_RS24835	240	1.6e-24	49	128	2	81	0.6076923076923076	0.6076923076923076
GT4_e593	GT4:33	-	-	142	NXV79_RS14020	392	2.9e-30	3	140	224	363	0.9647887323943662	0.9647887323943662
GT2	GT2:24	-	-	124	NXW07_RS17420	626	6.5e-43	1	115	16	128	0.9193548387096774	0.9193548387096774
GH92_e30	GH92:201	3.2.1.-:2	host glycan	521	NXW11_RS05895	760	4.4e-266	5	521	222	739	0.9904030710172744	0.9904030710172744
GH130_e20	GH130:130	3.2.1.197:4	-	311	NXW11_RS05930	372	1.6e-164	3	311	56	364	0.9903536977491961	0.9903536977491961
GT2	GT2:60	-	-	266	NXW14_RS07255	190	1.6e-31	171	265	1	95	0.3533834586466165	0.3533834586466165
GT4_e3606	GT4:10|GT2:1	-	-	154	NXW15_RS04090	399	5.1e-45	2	153	218	366	0.9805194805194806	0.9805194805194806
CBM32_e47	CBM32:7	-	host glycan	140	NXW15_RS05895	303	2.6e-19	8	139	149	287	0.9357142857142857	0.9357142857142857
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	NXW18_RS01105	340	6.4e-21	2	203	91	329	0.9757281553398058	0.9757281553398058
GT70_e0	GT70:350	2.4.1.17:2	-	366	NXW18_RS15295	393	5.6e-21	3	302	8	326	0.8169398907103825	0.8169398907103825
GT4_e3200	GT4:5	-	-	151	NXW18_RS15300	358	5.2e-34	3	150	179	328	0.9735099337748344	0.9735099337748344
GT4_e2230	GT4:7	-	-	139	NXW18_RS15315	332	4.4e-37	1	131	168	296	0.935251798561151	0.935251798561151
GT4_e946	GT4:88	-	-	151	NXW18_RS15320	405	5.4e-59	2	147	227	372	0.9602649006622517	0.9602649006622517
GT4_e3066	GT4:5	-	-	144	NXW18_RS17365	382	1.4e-33	1	141	213	353	0.9722222222222222	0.9722222222222222
GT4_e4001	GT4:11	-	-	139	NXW18_RS17370	372	1.1e-36	2	138	201	338	0.9784172661870504	0.9784172661870504
CBM48_e32	CBM48:1020|GH13_8:992|GH13:3|GT4:2|GH28:2	2.4.1.18:166	glycogen	89	NXW18_RS17495	677	1.3e-28	1	89	54	136	0.9887640449438202	0.9887640449438202
GH13_e20	GH13_8:470|CBM48:339|GH13:16|GT4:1|GH28:1	2.4.1.18:50	sucrose, alpha-glucan	293	NXW18_RS17495	677	4.1e-145	1	293	221	512	0.9965870307167235	0.9965870307167235
GT4_e1165	GT4:25	-	-	151	NXW18_RS19255	382	2.2e-62	1	150	203	352	0.9867549668874173	0.9867549668874173
GT4_e1235	GT4:27	-	-	152	NXW18_RS19260	372	7.9e-16	3	107	194	310	0.6842105263157895	0.6842105263157895
GT4_e1235	GT4:27	-	-	152	NXW18_RS19265	388	1.6e-66	2	152	209	358	0.9868421052631579	0.9868421052631579
GT101_e12	GT101:67|GT2:1	-	-	224	NXW18_RS19270	304	2.1e-100	1	224	58	281	0.9955357142857143	0.9955357142857143
GT4_e1252	GT4:8	-	-	150	NXW18_RS19275	382	8.4e-70	2	150	205	353	0.9866666666666667	0.9866666666666667
GH73_e221	GH73:75	-	-	133	NXW42_RS00185	504	2.4e-81	2	133	14	145	0.9849624060150376	0.9849624060150376
GH24_e69	GH24:62	-	-	124	NXW42_RS00530	179	7.6e-65	2	124	48	172	0.9838709677419355	0.9838709677419355
GT2	GT2:11	-	-	127	NXW42_RS13820	329	3.2e-47	1	119	9	137	0.9291338582677166	0.9291338582677166
GT4_e1767	GT4:6	-	-	141	NXW47_RS15710	369	3.3e-34	1	139	194	329	0.9787234042553191	0.9787234042553191
GT2	GT2:32	-	-	160	NXW47_RS15715	272	6.6e-53	1	160	6	163	0.99375	0.99375
CE4_e87	CE4:6	-	-	129	NXW47_RS15720	255	2.3e-17	5	125	60	177	0.9302325581395349	0.9302325581395349
GT4_e4053	GT4:9	-	-	147	NXW65_RS14740	387	2e-52	3	145	211	353	0.9659863945578231	0.9659863945578231
GH27_e2	GH27:47	3.2.1.22:1	alpha-galactan	257	NXW82_RS06050	517	1.1e-127	1	245	224	468	0.9494163424124513	0.9494163424124513
GT4_e3412	GT4:67	-	-	152	NXW82_RS13780	370	1.1e-55	2	148	190	336	0.9605263157894737	0.9605263157894737
GT4_e3584	GT4:10	-	-	151	NXW82_RS15450	367	6.5e-56	2	150	185	333	0.9801324503311258	0.9801324503311258
GT4_e2608	GT4:7	-	-	147	NXW82_RS16655	358	1.9e-37	2	144	182	325	0.9659863945578231	0.9659863945578231
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	NXW86_RS08600	309	6.2e-42	1	161	12	163	0.9815950920245399	0.9815950920245399
GT2	GT2:13|GT0:1	-	-	127	NXW86_RS08605	328	9.2e-48	1	114	9	122	0.889763779527559	0.889763779527559
GT32_e102	GT32:30	-	-	82	NXW86_RS08615	302	3.4e-25	2	80	50	128	0.9512195121951219	0.9512195121951219
GT2	GT2:5	-	-	145	NXW86_RS08620	236	1.9e-69	1	145	6	150	0.993103448275862	0.993103448275862
GT8_e199	GT8:33	-	-	248	NXW86_RS08625	313	1e-132	1	248	6	253	0.9959677419354839	0.9959677419354839
GT32_e179	GT32:9	-	-	78	NXW86_RS08630	314	1.4e-37	1	77	89	165	0.9743589743589743	0.9743589743589743
GT14_e45	GT14:8	-	-	240	NXW86_RS08635	286	3.5e-109	1	237	7	242	0.9833333333333333	0.9833333333333333
GT2	GT2:13	-	-	229	NXW86_RS24275	279	1.9e-52	1	214	7	219	0.9301310043668122	0.9301310043668122
CBM32_e83	CBM32:5	-	host glycan	130	NXW86_RS27910	618	6.7e-16	9	115	467	576	0.8153846153846154	0.8153846153846154
GH110_e10	GH110:9	3.2.1.22:2	host glycan	537	NXX00_RS04955	581	3.1e-303	2	537	35	572	0.9962756052141527	0.9962756052141527
GH97_e33	GH97:7	-	-	656	NXX05_RS04670	669	0	1	656	16	665	0.9984756097560976	0.9984756097560976
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	NXX05_RS22570	546	1.6e-174	2	348	155	511	0.9857549857549858	0.9857549857549858
GH3_e208	GH3:174	3.2.1.21:4	beta-glucan	231	NXX05_RS22575	775	5e-117	3	231	113	341	0.987012987012987	0.987012987012987
GH28_e37	GH28:7	-	-	285	NXX05_RS22580	507	1.4e-124	1	285	209	485	0.9964912280701754	0.9964912280701754
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	NXX05_RS22585	627	2e-134	2	349	125	498	0.9886039886039886	0.9886039886039886
GH28_e23	GH28:6	-	-	273	NXX05_RS22590	776	6.9e-146	1	273	474	755	0.9963369963369964	0.9963369963369964
PL1_e60	PL1_2:186|CE8:16|PL1:11|CBM6:4|CBM35:1|CBM88:1	4.2.2.2:3	pectin	184	NXX21_RS09065	214	3.2e-26	1	79	69	151	0.42391304347826086	0.42391304347826086
GH24_e43	GH24:7	-	-	125	NXX22_RS00405	161	8.7e-52	1	125	29	154	0.992	0.992
CE1_e22	CE1:6|CBM48:2|CE0:2	-	-	206	NXX22_RS00475	181	2.3e-17	77	205	5	175	0.6213592233009708	0.6213592233009708
GH73_e221	GH73:75	-	-	133	NXX22_RS00555	535	4.2e-71	2	133	14	145	0.9849624060150376	0.9849624060150376
GT4_e939	GT4:9	-	-	159	NXX22_RS16395	406	7.8e-63	1	159	218	376	0.9937106918238994	0.9937106918238994
GT2	GT2:54	-	-	141	NXX31_RS03500	264	4.1e-60	1	138	5	143	0.9716312056737588	0.9716312056737588
GT4_e1117	GT4:10	-	-	143	NXX31_RS03510	380	7.1e-54	2	140	191	330	0.965034965034965	0.965034965034965
GT4_e812	GT4:10	-	-	151	NXX31_RS03520	375	6.6e-33	2	145	202	342	0.9470198675496688	0.9470198675496688
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	NXX31_RS03530	333	2.5e-45	1	105	11	115	0.6380368098159509	0.6380368098159509
GT2	GT2:31	-	-	119	NXX31_RS03535	316	1e-44	1	117	7	123	0.9747899159663865	0.9747899159663865
GT32_e169	GT32:19	-	-	78	NXX31_RS16195	104	9.5e-24	2	62	24	83	0.7692307692307693	0.7692307692307693
GT4_e3458	GT4:47	-	-	144	NXX31_RS16200	378	1.4e-34	2	138	203	343	0.9444444444444444	0.9444444444444444
GT4_e633	GT4:17	-	-	151	NXX31_RS16205	370	8.4e-49	2	151	187	335	0.9867549668874173	0.9867549668874173
GT32_e51	GT32:5	-	-	84	NXX31_RS16215	317	2.9e-27	3	83	97	172	0.9523809523809523	0.9523809523809523
GT2	GT2:11	-	-	236	NXX31_RS16220	308	7.1e-88	1	200	4	209	0.8432203389830508	0.8432203389830508
GT4_e3332	GT4:7	-	-	142	NXX31_RS16230	385	5.4e-54	3	142	210	347	0.9788732394366197	0.9788732394366197
GT4_e3680	GT4:11	-	-	150	NXX31_RS16235	387	1.5e-35	3	149	214	347	0.9733333333333334	0.9733333333333334
GT26_e39	GT26:11	-	-	164	NXX31_RS16255	251	2.7e-87	1	164	59	222	0.9939024390243902	0.9939024390243902
GT4_e3479	GT4:25	-	-	152	NXX32_RS03415	390	5.2e-74	1	152	190	341	0.993421052631579	0.993421052631579
GT4_e408	GT4:35	-	-	151	NXX32_RS03425	378	3e-69	1	151	198	348	0.9933774834437086	0.9933774834437086
PL9_e24	PL9_1:24|PL9:3	4.2.2.23:2	pectin	407	NXX32_RS09825	532	1.1e-207	1	407	24	437	0.9975429975429976	0.9975429975429976
CE12_e37	CE12:111|GH106:1	-	-	206	NXX32_RS09880	427	1.4e-104	1	206	177	382	0.9951456310679612	0.9951456310679612
GT4_e1861	GT4:6	-	-	158	NXX32_RS10370	413	5.4e-55	4	158	222	377	0.9746835443037974	0.9746835443037974
GH57_e10	GH57:204	-	-	319	NXX32_RS10460	484	2.4e-168	1	319	7	325	0.9968652037617555	0.9968652037617555
GT4_e3513	GT4:30	-	-	144	NXX32_RS12190	588	1.4e-16	10	141	190	325	0.9097222222222222	0.9097222222222222
CE4_e274	CE4:13|GT4:1	-	-	141	NXX32_RS12190	588	1.1e-31	7	139	426	555	0.9361702127659575	0.9361702127659575
GH18_e37	GH18:97	-	-	235	NXX32_RS13540	345	2.4e-75	1	234	60	303	0.9914893617021276	0.9914893617021276
GH97_e20	GH97:216	-	-	634	NXX32_RS14020	651	4.8e-248	4	633	16	646	0.9921135646687698	0.9921135646687698
GT4_e224	GT4:47	-	-	143	NXX32_RS17880	369	8.5e-37	2	140	193	331	0.965034965034965	0.965034965034965
CE4_e274	CE4:13|GT4:1	-	-	141	NXX32_RS17930	264	1.9e-21	2	141	101	232	0.9858156028368794	0.9858156028368794
GT2	GT2:24	-	-	160	NXX32_RS20885	251	6.9e-55	1	158	8	165	0.98125	0.98125
GT2	GT2:7	-	-	226	NXX32_RS20900	268	1.5e-46	1	223	7	229	0.9823008849557522	0.9823008849557522
GT4_e1235	GT4:27	-	-	152	NXX32_RS23610	384	1.8e-65	2	152	207	356	0.9868421052631579	0.9868421052631579
GT4_e1077	GT4:6	-	-	152	NXX32_RS23620	385	5.6e-68	5	152	207	354	0.9671052631578947	0.9671052631578947
GT2	GT2:10	-	-	122	NXX32_RS23625	284	2.2e-64	1	122	43	164	0.9918032786885246	0.9918032786885246
GT2	GT2:32	-	-	160	NXX32_RS24260	269	3.3e-69	1	160	5	164	0.99375	0.99375
GT4_e2205	GT4:6	-	-	145	NXX32_RS24265	367	3e-53	1	144	183	326	0.9862068965517241	0.9862068965517241
GT4_e1250	GT4:26	-	-	150	NXX32_RS24275	360	2.8e-48	3	147	178	326	0.96	0.96
GH33_e126	GH33:36	-	-	364	NXX51_RS13835	1650	1.3e-128	4	362	1010	1372	0.9835164835164835	0.9835164835164835
GH20_e112	GH20:103	3.2.1.52:1	host glycan	272	NXX51_RS13840	959	8.2e-120	1	272	150	424	0.9963235294117647	0.9963235294117647
GT2	GT2:9	-	-	169	NXX57_RS13250	441	2.7e-74	1	169	78	246	0.9940828402366864	0.9940828402366864
GT4_e1212	GT4:5	-	-	151	NXX57_RS20330	395	6.2e-52	1	151	213	362	0.9933774834437086	0.9933774834437086
GT4_e1165	GT4:25	-	-	151	NXX57_RS20340	375	5.4e-50	2	151	197	347	0.9867549668874173	0.9867549668874173
GT2	GT2:11	-	-	116	NXX57_RS20345	264	7.1e-47	1	116	3	120	0.9913793103448276	0.9913793103448276
GT4_e2413	GT4:14	-	-	141	NXX57_RS20370	354	4.3e-38	2	138	191	323	0.9645390070921985	0.9645390070921985
GT4_e1935	GT4:52	-	-	153	NXX57_RS20390	365	1.1e-43	2	153	191	336	0.9869281045751634	0.9869281045751634
GT2	GT2:31	-	-	128	NXX62_RS24690	233	8e-45	19	123	1	105	0.8125	0.8125
GT4_e3049	GT4:37	-	-	148	NXX62_RS24700	338	3.8e-39	2	146	162	307	0.972972972972973	0.972972972972973
GT4_e3956	GT4:41	-	-	149	NXX62_RS24705	156	1.1e-27	39	147	12	122	0.7248322147651006	0.7248322147651006
GT32_e190	GT32:32	-	-	76	NXX62_RS24725	249	6.2e-40	1	73	22	94	0.9473684210526315	0.9473684210526315
GH43_e300	GH43_8:29	-	-	276	NXX94_RS09580	517	3.8e-164	1	276	28	304	0.9963768115942029	0.9963768115942029
CBM91_e43	CBM91:31|GH43_8:30|GH43:1	-	xylan	178	NXX94_RS09580	517	1.2e-26	1	178	332	508	0.9943820224719101	0.9943820224719101
GH163_e7	GH163:34	3.2.1.-:1	host glycan	253	NXY13_RS17600	742	9.3e-154	1	252	199	450	0.9920948616600791	0.9920948616600791
GT4_e3427	GT4:8	-	-	141	NXY23_RS10005	367	3.8e-21	3	137	198	334	0.950354609929078	0.950354609929078
GT4_e823	GT4:16	-	-	149	NXY23_RS10030	352	1.7e-48	2	148	191	336	0.9798657718120806	0.9798657718120806
GT4_e2321	GT4:62	-	-	122	NXY23_RS10045	306	1.6e-19	28	115	186	274	0.7131147540983607	0.7131147540983607
GT11_e51	GT11:219|GT25:1	2.4.1.69:1	-	282	NXY23_RS10050	301	3.4e-82	2	282	3	299	0.9929078014184397	0.9929078014184397
GT4_e3072	GT4:23	-	-	141	NXY23_RS19420	376	1.4e-32	2	135	196	332	0.9432624113475178	0.9432624113475178
GT2	GT2:37|GT101:8	2.4.1.-:1	-	163	NXY23_RS19430	326	6.2e-46	1	123	8	130	0.7484662576687117	0.7484662576687117
GT2	GT2:75	-	-	140	NXY23_RS19435	268	2.7e-46	1	118	8	126	0.8357142857142857	0.8357142857142857
GH24_e43	GH24:7	-	-	125	NXY36_RS00710	154	6.1e-68	1	125	23	147	0.992	0.992
GH28_e57	GH28:64|CBM16:1	-	-	259	NXY45_RS00815	463	7.5e-120	2	257	190	441	0.9845559845559846	0.9845559845559846
GH33_e121	GH33:131	3.2.1.18:6	sialic acid	336	NXY45_RS06640	545	1.4e-185	1	336	195	531	0.9970238095238095	0.9970238095238095
GH20_e112	GH20:103	3.2.1.52:1	host glycan	272	NXY45_RS06645	673	8.7e-159	1	272	143	414	0.9963235294117647	0.9963235294117647
CE20_e16	CE20:217|CE0:1|GH33:1|CE3:1	-	-	283	NXY45_RS06655	691	5.1e-136	1	283	300	580	0.9964664310954063	0.9964664310954063
GH16_e72	GH16_3:16|CBM16:13|GH16:1	3.2.1.103:1	host glycan	228	NXY45_RS06705	278	9.9e-68	2	228	52	275	0.9912280701754386	0.9912280701754386
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	NXY45_RS06710	787	2e-142	3	348	162	510	0.9829059829059829	0.9829059829059829
GH35_e43	GH35:828|CBM32:242|GH43_24:11	3.2.1.23:3	pectin	314	NXY45_RS06720	625	4.5e-143	4	314	35	354	0.9872611464968153	0.9872611464968153
CBM32_e212	CBM32:12	-	host glycan	130	NXY45_RS10330	606	8.9e-16	4	91	451	540	0.6692307692307692	0.6692307692307692
GH73_e221	GH73:75	-	-	133	NXY45_RS11850	527	9e-73	2	133	16	147	0.9849624060150376	0.9849624060150376
GT4_e1604	GT4:12	-	-	149	NXY45_RS14150	389	8.7e-31	2	148	214	359	0.9798657718120806	0.9798657718120806
GT4_e719	GT4:7	-	-	152	NXY45_RS14170	358	1.4e-37	2	149	177	323	0.9671052631578947	0.9671052631578947
GT4_e1735	GT4:8	-	-	156	NXY45_RS14175	365	3.2e-26	3	141	185	321	0.8846153846153846	0.8846153846153846
GT4_e3551	GT4:17	-	-	140	NXY45_RS14185	374	3.7e-38	2	128	216	334	0.9	0.9
GT4_e4026	GT4:7	-	-	155	NXY45_RS17855	370	1.3e-70	1	155	190	344	0.9935483870967742	0.9935483870967742
GT2	GT2:9	-	-	130	NXY45_RS17875	349	9.6e-55	1	130	6	138	0.9923076923076923	0.9923076923076923
GT4_e1043	GT4:18	-	-	161	NXY45_RS17890	414	1.3e-41	2	160	223	381	0.9813664596273292	0.9813664596273292
GT2	GT2:16	-	-	181	NXY45_RS18950	274	5.7e-81	1	181	7	185	0.994475138121547	0.994475138121547
GT2	GT2:11	-	-	164	NXY45_RS18970	332	5.2e-59	1	162	11	170	0.9817073170731707	0.9817073170731707
GT25_e69	GT25:13|GH16:1	-	-	175	NXY45_RS18975	244	6.6e-65	1	175	3	175	0.9942857142857143	0.9942857142857143
GH20_e12	GH20:1706|CBM32:19|CBM0:2	3.2.1.52:18|3.2.1.-:1	host glycan, host glycan	351	PG790_RS05475	771	6.3e-140	2	348	156	503	0.9857549857549858	0.9857549857549858
GH18_e37	GH18:97	-	-	235	PG790_RS05505	323	8.8e-72	1	235	63	285	0.9957446808510638	0.9957446808510638
GH154_e2	GH154:70|GH105:20|GH16_3:1	-	-	361	PG790_RS05565	412	7.4e-190	1	360	32	388	0.9944598337950139	0.9944598337950139
PL8_e42	PL8_3:29	-	-	251	PG790_RS05570	720	1.1e-120	1	251	347	598	0.9960159362549801	0.9960159362549801
GH105_e29	GH105:94|PL33_2:14|PL35:2	-	-	312	PG790_RS05575	363	1e-147	2	312	39	355	0.9935897435897436	0.9935897435897436
GH29_e8	GH29:139|CBM32:1|GH2:1	3.2.1.51:2	host glycan	337	PG790_RS05580	480	5.2e-172	2	337	44	381	0.9940652818991098	0.9940652818991098
